n_steps,epoch,train_loss
134500,10.52,0.589
135000,10.56,0.5907
135500,10.6,0.59
136000,10.64,0.5891
136500,10.68,0.5914
137000,10.72,0.5912
137500,10.75,0.5903
138000,10.79,0.5906
138500,10.83,0.5897
139000,10.87,0.5927
139500,10.91,0.59
140000,10.95,0.5921
140500,10.99,0.5913
141000,11.03,0.5881
141500,11.07,0.5868
142000,11.11,0.5861
142500,11.15,0.5851
143000,11.18,0.5882
143500,11.22,0.5866
144000,11.26,0.5896
144500,11.3,0.5878
145000,11.34,0.5889
145500,11.38,0.5883
146000,11.42,0.5887
146500,11.46,0.5892
147000,11.5,0.5876
147500,11.54,0.5863
148000,11.58,0.5894
148500,11.62,0.586
149000,11.65,0.5896
149500,11.69,0.5896
150000,11.73,0.5875
150500,11.77,0.5902
151000,11.81,0.5871
151500,11.85,0.5892
152000,11.89,0.5901
152500,11.93,0.5901
153000,11.97,0.589
153500,12.01,0.5892
154000,12.05,0.5847
154500,12.08,0.5838
155000,12.12,0.5852
155500,12.16,0.5843
156000,12.2,0.5879
156500,12.24,0.5861
157000,12.28,0.5856
157500,12.32,0.5837
158000,12.36,0.5845
158500,12.4,0.587
159000,12.44,0.5859
159500,12.48,0.5847
160000,12.51,0.5862
160500,12.55,0.5875
161000,12.59,0.5859
161500,12.63,0.5874
162000,12.67,0.587
162500,12.71,0.586
163000,12.75,0.5853
163500,12.79,0.5866
164000,12.83,0.5871
164500,12.87,0.586
165000,12.91,0.5843
165500,12.94,0.5898
166000,12.98,0.586
166500,13.02,0.5841
167000,13.06,0.5812
167500,13.1,0.5821
168000,13.14,0.5839
168500,13.18,0.5825
169000,13.22,0.5821
169500,13.26,0.5819
170000,13.3,0.5817
170500,13.34,0.5836
171000,13.38,0.5815
171500,13.41,0.5854
172000,13.45,0.5852
172500,13.49,0.5837
173000,13.53,0.5832
173500,13.57,0.5818
174000,13.61,0.5849
174500,13.65,0.583
175000,13.69,0.5843
175500,13.73,0.585
176000,13.77,0.585
176500,13.81,0.5843
177000,13.84,0.5861
177500,13.88,0.5852
178000,13.92,0.5826
178500,13.96,0.586
179000,14.0,0.5863
179500,14.04,0.5805
180000,14.08,0.5797
180500,14.12,0.5783
181000,14.16,0.5794
181500,14.2,0.5807
182000,14.24,0.5799
182500,14.27,0.5817
183000,14.31,0.5816
183500,14.35,0.5831
184000,14.39,0.5799
184500,14.43,0.5821
185000,14.47,0.5827
185500,14.51,0.5807
186000,14.55,0.5837
186500,14.59,0.5818
187000,14.63,0.58
187500,14.67,0.5806
188000,14.7,0.5836
188500,14.74,0.5822
189000,14.78,0.5829
189500,14.82,0.5809
190000,14.86,0.5808
190500,14.9,0.5822
191000,14.94,0.5798
191500,14.98,0.5825
192000,15.02,0.5801
192500,15.06,0.5789
193000,15.1,0.5786
193500,15.13,0.578
194000,15.17,0.5774
194500,15.21,0.5777
195000,15.25,0.5784
195500,15.29,0.5783
196000,15.33,0.578
196500,15.37,0.5774
197000,15.41,0.5789
197500,15.45,0.5785
198000,15.49,0.58
198500,15.53,0.5793
199000,15.57,0.5801
199500,15.6,0.5778
200000,15.64,0.5788
200500,15.68,0.5809
201000,15.72,0.58
201500,15.76,0.5792
202000,15.8,0.5801
202500,15.84,0.5795
203000,15.88,0.5774
203500,15.92,0.5801
204000,15.96,0.5817
204500,16.0,0.5766
205000,16.03,0.5745
205500,16.07,0.574
206000,16.11,0.576
206500,16.15,0.5752
207000,16.19,0.5753
207500,16.23,0.5756
208000,16.27,0.5752
208500,16.31,0.575
209000,16.35,0.5729
209500,16.39,0.5751
210000,16.43,0.5756
210500,16.46,0.5777
211000,16.5,0.5764
211500,16.54,0.5775
212000,16.58,0.5779
212500,16.62,0.5776
213000,16.66,0.5765
213500,16.7,0.5782
214000,16.74,0.5764
214500,16.78,0.5756
215000,16.82,0.5792
215500,16.86,0.5739
216000,16.89,0.579
216500,16.93,0.5795
217000,16.97,0.5779
217500,17.01,0.5757
218000,17.05,0.5717
218500,17.09,0.5715
219000,17.13,0.5729
219500,17.17,0.5729
220000,17.21,0.5739
220500,17.25,0.5734
221000,17.29,0.5741
221500,17.32,0.5733
222000,17.36,0.5729
222500,17.4,0.574
223000,17.44,0.5747
223500,17.48,0.5744
224000,17.52,0.5742
224500,17.56,0.5724
225000,17.6,0.5742
225500,17.64,0.574
226000,17.68,0.5762
226500,17.72,0.5745
227000,17.76,0.5744
227500,17.79,0.5769
228000,17.83,0.5737
228500,17.87,0.5745
229000,17.91,0.5721
229500,17.95,0.5734
230000,17.99,0.5755
230500,18.03,0.5723
231000,18.07,0.5699
231500,18.11,0.5671
232000,18.15,0.568
232500,18.19,0.5696
233000,18.22,0.5696
233500,18.26,0.5722
234000,18.3,0.5722
234500,18.34,0.5728
235000,18.38,0.5699
235500,18.42,0.5723
236000,18.46,0.571
236500,18.5,0.5737
237000,18.54,0.5702
237500,18.58,0.5708
238000,18.62,0.5721
238500,18.65,0.5718
239000,18.69,0.5702
239500,18.73,0.5722
240000,18.77,0.5732
240500,18.81,0.5697
241000,18.85,0.574
241500,18.89,0.5713
242000,18.93,0.5727
242500,18.97,0.5743
243000,19.01,0.5713
243500,19.05,0.567
244000,19.08,0.5669
244500,19.12,0.566
245000,19.16,0.5669
245500,19.2,0.5672
246000,19.24,0.5691
246500,19.28,0.5672
247000,19.32,0.569
247500,19.36,0.5701
248000,19.4,0.569
248500,19.44,0.5686
249000,19.48,0.5701
249500,19.52,0.5706
250000,19.55,0.5696
250500,19.59,0.5675
