n_steps,epoch,train_loss
134500,10.27,0.6017
135000,10.3,0.6019
135500,10.34,0.6028
136000,10.38,0.6017
136500,10.42,0.6026
137000,10.46,0.6032
137500,10.5,0.6034
138000,10.53,0.6
138500,10.57,0.6032
139000,10.61,0.6021
139500,10.65,0.6026
140000,10.69,0.6021
140500,10.72,0.6026
141000,10.76,0.6001
141500,10.8,0.6023
142000,10.84,0.6011
142500,10.88,0.6013
143000,10.92,0.602
143500,10.95,0.6031
144000,10.99,0.6034
144500,11.03,0.6003
145000,11.07,0.5946
145500,11.11,0.6007
146000,11.14,0.5991
146500,11.18,0.5973
147000,11.22,0.6008
147500,11.26,0.6004
148000,11.3,0.5998
148500,11.34,0.6
149000,11.37,0.5995
149500,11.41,0.5984
150000,11.45,0.5979
150500,11.49,0.6003
151000,11.53,0.5994
151500,11.56,0.6011
152000,11.6,0.6011
152500,11.64,0.6011
153000,11.68,0.6009
153500,11.72,0.6023
154000,11.75,0.5979
154500,11.79,0.5983
155000,11.83,0.5986
155500,11.87,0.5997
156000,11.91,0.6
156500,11.95,0.5977
157000,11.98,0.6014
157500,12.02,0.5973
158000,12.06,0.5966
158500,12.1,0.5968
159000,12.14,0.5969
159500,12.17,0.5961
160000,12.21,0.5963
160500,12.25,0.598
161000,12.29,0.5959
161500,12.33,0.5965
162000,12.37,0.5957
162500,12.4,0.5961
163000,12.44,0.5958
163500,12.48,0.5962
164000,12.52,0.5961
164500,12.56,0.5975
165000,12.59,0.6002
165500,12.63,0.5956
166000,12.67,0.5945
166500,12.71,0.5964
167000,12.75,0.5971
167500,12.79,0.5989
168000,12.82,0.5971
168500,12.86,0.5951
169000,12.9,0.5975
169500,12.94,0.5975
170000,12.98,0.598
170500,13.01,0.5959
171000,13.05,0.5904
171500,13.09,0.5928
172000,13.13,0.5926
172500,13.17,0.5939
173000,13.21,0.5925
173500,13.24,0.5923
174000,13.28,0.5933
174500,13.32,0.5941
175000,13.36,0.593
175500,13.4,0.5918
176000,13.43,0.5944
176500,13.47,0.5965
177000,13.51,0.593
177500,13.55,0.5933
178000,13.59,0.5945
178500,13.62,0.5952
179000,13.66,0.5945
179500,13.7,0.5933
180000,13.74,0.5928
180500,13.78,0.5961
181000,13.82,0.5946
181500,13.85,0.5954
182000,13.89,0.5944
182500,13.93,0.5957
183000,13.97,0.5958
183500,14.01,0.5946
184000,14.04,0.5869
184500,14.08,0.5891
185000,14.12,0.5884
185500,14.16,0.5894
186000,14.2,0.5892
186500,14.24,0.5913
187000,14.27,0.5917
187500,14.31,0.5906
188000,14.35,0.5882
188500,14.39,0.5919
189000,14.43,0.5897
189500,14.46,0.5906
190000,14.5,0.5922
190500,14.54,0.5897
191000,14.58,0.5908
191500,14.62,0.5912
192000,14.66,0.5915
192500,14.69,0.5931
193000,14.73,0.5931
193500,14.77,0.5913
194000,14.81,0.5934
194500,14.85,0.5919
195000,14.88,0.5923
195500,14.92,0.5926
196000,14.96,0.59
196500,15.0,0.5925
197000,15.04,0.5856
197500,15.08,0.5871
198000,15.11,0.5835
198500,15.15,0.5856
199000,15.19,0.5863
199500,15.23,0.5853
200000,15.27,0.5874
200500,15.3,0.586
201000,15.34,0.5881
201500,15.38,0.5866
202000,15.42,0.5887
202500,15.46,0.5892
203000,15.5,0.5879
203500,15.53,0.586
204000,15.57,0.5866
204500,15.61,0.5882
205000,15.65,0.5873
205500,15.69,0.5849
206000,15.72,0.5872
