n_steps,epoch,train_loss
134500,10.35,0.6005
135000,10.39,0.5985
135500,10.43,0.6023
136000,10.47,0.6021
136500,10.5,0.6032
137000,10.54,0.6033
137500,10.58,0.6046
138000,10.62,0.6016
138500,10.66,0.6024
139000,10.7,0.6049
139500,10.74,0.6027
140000,10.77,0.6018
140500,10.81,0.6036
141000,10.85,0.6025
141500,10.89,0.6048
142000,10.93,0.6034
142500,10.97,0.6046
143000,11.01,0.6045
143500,11.04,0.5999
144000,11.08,0.5963
144500,11.12,0.5995
145000,11.16,0.5968
145500,11.2,0.5952
146000,11.24,0.5985
146500,11.27,0.5979
147000,11.31,0.5971
147500,11.35,0.5963
148000,11.39,0.6015
148500,11.43,0.601
149000,11.47,0.6017
149500,11.51,0.5998
150000,11.54,0.5992
150500,11.58,0.6
151000,11.62,0.5995
151500,11.66,0.5994
152000,11.7,0.5998
152500,11.74,0.5986
153000,11.77,0.5981
153500,11.81,0.6018
154000,11.85,0.5987
154500,11.89,0.6012
155000,11.93,0.6011
155500,11.97,0.6028
156000,12.01,0.5997
156500,12.04,0.5937
157000,12.08,0.5947
157500,12.12,0.5935
158000,12.16,0.594
158500,12.2,0.5938
159000,12.24,0.5949
159500,12.27,0.5957
160000,12.31,0.5974
160500,12.35,0.5972
161000,12.39,0.5951
161500,12.43,0.5961
162000,12.47,0.5949
162500,12.51,0.5968
163000,12.54,0.5948
163500,12.58,0.5963
164000,12.62,0.5965
164500,12.66,0.5974
165000,12.7,0.5952
165500,12.74,0.5976
166000,12.78,0.5975
166500,12.81,0.5985
167000,12.85,0.5987
167500,12.89,0.5986
168000,12.93,0.6001
168500,12.97,0.5967
169000,13.01,0.5953
169500,13.04,0.5905
170000,13.08,0.5928
170500,13.12,0.5921
171000,13.16,0.5901
171500,13.2,0.5909
172000,13.24,0.5922
172500,13.28,0.5915
173000,13.31,0.5932
173500,13.35,0.5913
174000,13.39,0.5936
174500,13.43,0.5923
175000,13.47,0.5946
175500,13.51,0.5883
176000,13.54,0.5956
176500,13.58,0.5956
177000,13.62,0.5932
177500,13.66,0.5934
178000,13.7,0.595
178500,13.74,0.595
179000,13.78,0.5919
179500,13.81,0.5953
180000,13.85,0.5941
180500,13.89,0.5942
181000,13.93,0.5914
181500,13.97,0.593
182000,14.01,0.5906
182500,14.04,0.5862
183000,14.08,0.5891
183500,14.12,0.5883
184000,14.16,0.5884
184500,14.2,0.5894
185000,14.24,0.5876
185500,14.28,0.5861
186000,14.31,0.5851
186500,14.35,0.5902
187000,14.39,0.5884
187500,14.43,0.5888
188000,14.47,0.5877
188500,14.51,0.5876
189000,14.55,0.588
189500,14.58,0.5912
190000,14.62,0.5915
190500,14.66,0.5907
191000,14.7,0.591
191500,14.74,0.5901
192000,14.78,0.589
192500,14.81,0.5897
193000,14.85,0.5882
193500,14.89,0.5887
194000,14.93,0.5888
194500,14.97,0.5909
195000,15.01,0.5906
195500,15.05,0.5833
196000,15.08,0.5835
196500,15.12,0.5823
197000,15.16,0.584
197500,15.2,0.5832
198000,15.24,0.5852
198500,15.28,0.5851
199000,15.31,0.5855
199500,15.35,0.5845
200000,15.39,0.5854
200500,15.43,0.5856
201000,15.47,0.5862
201500,15.51,0.5867
202000,15.55,0.5859
202500,15.58,0.586
203000,15.62,0.5846
203500,15.66,0.583
204000,15.7,0.5849
204500,15.74,0.5861
205000,15.78,0.5852
205500,15.81,0.5871
206000,15.85,0.5872
206500,15.89,0.5851
207000,15.93,0.5882
207500,15.97,0.5843
208000,16.01,0.5852
208500,16.05,0.5788
209000,16.08,0.5808
209500,16.12,0.5791
210000,16.16,0.5799
210500,16.2,0.5799
211000,16.24,0.5788
211500,16.28,0.5803
212000,16.32,0.5815
212500,16.35,0.5814
213000,16.39,0.5801
213500,16.43,0.5815
214000,16.47,0.5821
214500,16.51,0.5834
215000,16.55,0.5842
215500,16.58,0.5815
216000,16.62,0.5822
216500,16.66,0.5792
217000,16.7,0.5818
217500,16.74,0.5832
218000,16.78,0.5817
218500,16.82,0.5823
219000,16.85,0.5825
219500,16.89,0.582
220000,16.93,0.5837
220500,16.97,0.5829
221000,17.01,0.5795
221500,17.05,0.576
222000,17.08,0.5767
222500,17.12,0.5768
223000,17.16,0.5755
223500,17.2,0.576
224000,17.24,0.5756
224500,17.28,0.5767
225000,17.32,0.5786
225500,17.35,0.5751
226000,17.39,0.5781
226500,17.43,0.5765
227000,17.47,0.5774
227500,17.51,0.5769
228000,17.55,0.5774
228500,17.59,0.5794
229000,17.62,0.5761
229500,17.66,0.5791
230000,17.7,0.5786
230500,17.74,0.5796
231000,17.78,0.5784
231500,17.82,0.576
232000,17.85,0.5786
232500,17.89,0.5802
233000,17.93,0.5787
233500,17.97,0.5802
234000,18.01,0.5779
234500,18.05,0.571
235000,18.09,0.5709
235500,18.12,0.5721
236000,18.16,0.5727
236500,18.2,0.5749
237000,18.24,0.5714
237500,18.28,0.5737
238000,18.32,0.5752
238500,18.35,0.5714
239000,18.39,0.5728
239500,18.43,0.5731
240000,18.47,0.573
240500,18.51,0.5745
241000,18.55,0.5754
241500,18.59,0.5741
242000,18.62,0.5753
242500,18.66,0.5751
243000,18.7,0.5735
243500,18.74,0.5761
244000,18.78,0.5741
244500,18.82,0.5733
245000,18.85,0.5754
245500,18.89,0.5759
246000,18.93,0.5746
246500,18.97,0.5755
247000,19.01,0.5736
247500,19.05,0.5695
248000,19.09,0.5681
248500,19.12,0.5695
249000,19.16,0.5694
249500,19.2,0.5682
250000,19.24,0.5704
250500,19.28,0.5696
251000,19.32,0.5707
251500,19.36,0.5686
252000,19.39,0.5702
252500,19.43,0.5691
253000,19.47,0.5711
253500,19.51,0.5688
254000,19.55,0.57
254500,19.59,0.5721
255000,19.62,0.5728
255500,19.66,0.5709
256000,19.7,0.5702
256500,19.74,0.5718
257000,19.78,0.569
257500,19.82,0.5704
258000,19.86,0.5711
258500,19.89,0.5721
259000,19.93,0.5718
259500,19.97,0.5735
260000,20.01,0.5711
260500,20.05,0.5651
261000,20.09,0.5648
261500,20.12,0.565
262000,20.16,0.567
262500,20.2,0.5648
263000,20.24,0.5666
263500,20.28,0.5666
264000,20.32,0.5672
264500,20.36,0.5671
265000,20.39,0.5673
265500,20.43,0.5649
266000,20.47,0.5682
266500,20.51,0.5681
267000,20.55,0.568
267500,20.59,0.5661
268000,20.62,0.5689
268500,20.66,0.568
269000,20.7,0.5683
269500,20.74,0.5692
270000,20.78,0.567
270500,20.82,0.5682
271000,20.86,0.5683
271500,20.89,0.5656
272000,20.93,0.5693
272500,20.97,0.5679
273000,21.01,0.567
273500,21.05,0.5653
274000,21.09,0.5618
274500,21.13,0.5643
275000,21.16,0.5633
275500,21.2,0.5643
276000,21.24,0.5646
276500,21.28,0.5636
277000,21.32,0.5645
277500,21.36,0.5637
278000,21.39,0.565
278500,21.43,0.5638
279000,21.47,0.5637
279500,21.51,0.5633
280000,21.55,0.5637
280500,21.59,0.564
281000,21.63,0.5637
281500,21.66,0.5641
282000,21.7,0.5636
282500,21.74,0.5665
283000,21.78,0.5638
283500,21.82,0.565
284000,21.86,0.5652
284500,21.89,0.5654
285000,21.93,0.5651
285500,21.97,0.5644
286000,22.01,0.565
286500,22.05,0.5632
287000,22.09,0.5609
287500,22.13,0.5619
288000,22.16,0.5628
288500,22.2,0.5619
289000,22.24,0.5617
289500,22.28,0.5612
290000,22.32,0.5629
290500,22.36,0.5641
291000,22.39,0.5619
291500,22.43,0.5613
292000,22.47,0.5613
292500,22.51,0.5611
293000,22.55,0.561
293500,22.59,0.5613
294000,22.63,0.5629
294500,22.66,0.5626
295000,22.7,0.5625
295500,22.74,0.5626
296000,22.78,0.562
296500,22.82,0.5629
297000,22.86,0.5606
297500,22.9,0.5616
298000,22.93,0.5613
298500,22.97,0.5614
299000,23.01,0.562
299500,23.05,0.5615
300000,23.09,0.5609
