n_steps,epoch,train_loss
134000,8.28,0.6796
134500,8.31,0.6812
135000,8.34,0.6792
135500,8.37,0.6796
136000,8.4,0.6766
136500,8.43,0.6817
137000,8.46,0.6831
137500,8.49,0.6796
138000,8.52,0.6797
138500,8.55,0.6793
139000,8.58,0.6787
139500,8.62,0.6779
140000,8.65,0.6773
140500,8.68,0.6803
141000,8.71,0.6766
141500,8.74,0.6788
142000,8.77,0.6775
142500,8.8,0.6774
143000,8.83,0.6796
143500,8.86,0.6801
144000,8.89,0.6771
144500,8.92,0.6786
145000,8.96,0.6779
145500,8.99,0.6772
146000,9.02,0.6751
146500,9.05,0.6772
147000,9.08,0.6767
147500,9.11,0.6751
148000,9.14,0.6747
148500,9.17,0.6744
149000,9.2,0.6736
149500,9.23,0.6778
150000,9.26,0.6751
150500,9.29,0.6762
151000,9.33,0.6728
151500,9.36,0.6761
152000,9.39,0.674
152500,9.42,0.6762
153000,9.45,0.6763
153500,9.48,0.6729
154000,9.51,0.6759
154500,9.54,0.676
155000,9.57,0.6775
155500,9.6,0.6745
156000,9.63,0.6777
156500,9.67,0.678
157000,9.7,0.6765
157500,9.73,0.6754
158000,9.76,0.673
158500,9.79,0.673
159000,9.82,0.6787
159500,9.85,0.6753
160000,9.88,0.676
160500,9.91,0.6749
161000,9.94,0.6755
161500,9.97,0.6778
162000,10.0,0.6767
162500,10.04,0.672
163000,10.07,0.6722
163500,10.1,0.6717
164000,10.13,0.6712
164500,10.16,0.6712
165000,10.19,0.6727
165500,10.22,0.6709
166000,10.25,0.6741
166500,10.28,0.6737
167000,10.31,0.6737
167500,10.34,0.6732
168000,10.38,0.6731
168500,10.41,0.6717
169000,10.44,0.6694
169500,10.47,0.671
170000,10.5,0.6731
170500,10.53,0.6701
171000,10.56,0.672
171500,10.59,0.6711
172000,10.62,0.6726
172500,10.65,0.6745
173000,10.68,0.6757
173500,10.72,0.6734
174000,10.75,0.6749
174500,10.78,0.673
175000,10.81,0.6738
175500,10.84,0.6734
176000,10.87,0.6738
176500,10.9,0.675
177000,10.93,0.6708
177500,10.96,0.6738
178000,10.99,0.6738
178500,11.02,0.6687
179000,11.05,0.6693
179500,11.09,0.6674
180000,11.12,0.6698
180500,11.15,0.6693
181000,11.18,0.6686
181500,11.21,0.6705
182000,11.24,0.6699
182500,11.27,0.6702
183000,11.3,0.6705
183500,11.33,0.67
184000,11.36,0.6675
184500,11.39,0.6693
185000,11.43,0.6721
185500,11.46,0.6708
186000,11.49,0.6736
186500,11.52,0.6715
187000,11.55,0.6684
187500,11.58,0.6687
188000,11.61,0.6728
188500,11.64,0.6719
189000,11.67,0.6693
189500,11.7,0.6724
190000,11.73,0.6709
190500,11.77,0.6696
191000,11.8,0.669
191500,11.83,0.6703
192000,11.86,0.6681
192500,11.89,0.6731
193000,11.92,0.6695
193500,11.95,0.6694
194000,11.98,0.6711
194500,12.01,0.6682
195000,12.04,0.6647
195500,12.07,0.666
196000,12.1,0.6693
196500,12.14,0.6671
197000,12.17,0.6641
197500,12.2,0.6664
198000,12.23,0.6668
198500,12.26,0.6662
199000,12.29,0.6664
199500,12.32,0.6672
200000,12.35,0.6649
200500,12.38,0.6685
201000,12.41,0.6665
201500,12.44,0.6688
202000,12.48,0.6684
202500,12.51,0.667
203000,12.54,0.6711
203500,12.57,0.666
204000,12.6,0.6677
204500,12.63,0.6672
205000,12.66,0.6683
205500,12.69,0.6676
206000,12.72,0.6686
206500,12.75,0.6684
207000,12.78,0.6686
207500,12.81,0.6669
208000,12.85,0.6671
208500,12.88,0.666
209000,12.91,0.6712
209500,12.94,0.6682
210000,12.97,0.6682
210500,13.0,0.6671
211000,13.03,0.6639
211500,13.06,0.663
212000,13.09,0.6618
212500,13.12,0.6644
213000,13.15,0.6639
213500,13.19,0.6655
214000,13.22,0.665
214500,13.25,0.6631
215000,13.28,0.6642
215500,13.31,0.6627
216000,13.34,0.6629
216500,13.37,0.6633
217000,13.4,0.662
217500,13.43,0.6665
218000,13.46,0.6665
218500,13.49,0.6655
219000,13.53,0.6689
219500,13.56,0.6668
220000,13.59,0.6653
220500,13.62,0.6645
221000,13.65,0.6652
221500,13.68,0.6638
222000,13.71,0.6643
222500,13.74,0.6634
223000,13.77,0.6662
223500,13.8,0.669
224000,13.83,0.6645
224500,13.86,0.6666
225000,13.9,0.6646
225500,13.93,0.6632
226000,13.96,0.6652
226500,13.99,0.6662
227000,14.02,0.6612
227500,14.05,0.6644
228000,14.08,0.6604
228500,14.11,0.6627
229000,14.14,0.6627
229500,14.17,0.6629
230000,14.2,0.6656
230500,14.24,0.6585
231000,14.27,0.6598
231500,14.3,0.6633
232000,14.33,0.6627
232500,14.36,0.662
233000,14.39,0.663
233500,14.42,0.6625
234000,14.45,0.662
234500,14.48,0.6623
235000,14.51,0.6614
235500,14.54,0.6592
236000,14.58,0.6629
236500,14.61,0.6618
237000,14.64,0.6625
237500,14.67,0.6622
238000,14.7,0.6596
238500,14.73,0.6617
239000,14.76,0.6608
239500,14.79,0.6616
240000,14.82,0.6619
240500,14.85,0.6599
241000,14.88,0.6653
241500,14.91,0.6651
242000,14.95,0.6612
242500,14.98,0.6645
243000,15.01,0.6629
243500,15.04,0.6575
244000,15.07,0.6601
244500,15.1,0.6575
245000,15.13,0.661
245500,15.16,0.6585
246000,15.19,0.6602
246500,15.22,0.6587
247000,15.25,0.6602
247500,15.29,0.6613
248000,15.32,0.6596
248500,15.35,0.6579
249000,15.38,0.6595
249500,15.41,0.6619
250000,15.44,0.6571
250500,15.47,0.658
251000,15.5,0.6605
251500,15.53,0.6591
252000,15.56,0.6557
252500,15.59,0.6598
253000,15.62,0.6633
253500,15.66,0.6598
254000,15.69,0.6595
254500,15.72,0.6606
255000,15.75,0.6609
255500,15.78,0.6606
256000,15.81,0.6594
256500,15.84,0.6638
257000,15.87,0.6605
257500,15.9,0.6569
258000,15.93,0.6607
258500,15.96,0.6579
259000,16.0,0.6595
