n_steps,epoch,train_loss
134500,1.0,0.8446
135000,1.0,0.8458
135500,1.01,0.8436
136000,1.01,0.8451
136500,1.01,0.8445
137000,1.02,0.8443
137500,1.02,0.8445
138000,1.03,0.8444
138500,1.03,0.8446
139000,1.03,0.8437
139500,1.04,0.8439
140000,1.04,0.8443
140500,1.04,0.8435
141000,1.05,0.844
141500,1.05,0.8437
142000,1.06,0.8438
142500,1.06,0.8439
143000,1.06,0.8436
143500,1.07,0.8434
144000,1.07,0.8437
144500,1.07,0.8438
145000,1.08,0.8429
145500,1.08,0.8427
146000,1.08,0.8431
146500,1.09,0.8424
147000,1.09,0.8431
147500,1.1,0.8429
148000,1.1,0.8435
148500,1.1,0.8429
149000,1.11,0.8428
149500,1.11,0.843
150000,1.11,0.8427
150500,1.12,0.8426
151000,1.12,0.8414
151500,1.13,0.8424
152000,1.13,0.8419
152500,1.13,0.8423
153000,1.14,0.8422
153500,1.14,0.8426
154000,1.14,0.8419
154500,1.15,0.8421
155000,1.15,0.8419
155500,1.16,0.842
156000,1.16,0.842
156500,1.16,0.8413
157000,1.17,0.8408
157500,1.17,0.8418
158000,1.17,0.8405
158500,1.18,0.8418
159000,1.18,0.8408
159500,1.19,0.8414
160000,1.19,0.8414
160500,1.19,0.8415
161000,1.2,0.8407
161500,1.2,0.8414
162000,1.2,0.8409
162500,1.21,0.8411
163000,1.21,0.8415
163500,1.21,0.8408
164000,1.22,0.8416
164500,1.22,0.8407
165000,1.23,0.8407
165500,1.23,0.8409
166000,1.23,0.8408
166500,1.24,0.841
167000,1.24,0.8406
167500,1.24,0.8408
168000,1.25,0.84
168500,1.25,0.8405
169000,1.26,0.8412
169500,1.26,0.8407
170000,1.26,0.8399
170500,1.27,0.841
171000,1.27,0.8399
171500,1.27,0.8396
172000,1.28,0.8403
172500,1.28,0.8402
173000,1.29,0.8402
173500,1.29,0.8401
174000,1.29,0.8406
174500,1.3,0.8396
175000,1.3,0.8396
175500,1.3,0.8394
176000,1.31,0.8389
176500,1.31,0.8394
177000,1.32,0.8393
177500,1.32,0.8393
178000,1.32,0.839
178500,1.33,0.8395
179000,1.33,0.8394
179500,1.33,0.8395
180000,1.34,0.8393
180500,1.34,0.8393
181000,1.34,0.8394
181500,1.35,0.8385
182000,1.35,0.8383
182500,1.36,0.838
183000,1.36,0.8396
183500,1.36,0.8387
184000,1.37,0.8383
184500,1.37,0.8376
185000,1.37,0.8379
185500,1.38,0.8385
186000,1.38,0.8382
186500,1.39,0.8381
187000,1.39,0.8382
187500,1.39,0.8374
188000,1.4,0.8385
188500,1.4,0.8387
189000,1.4,0.8381
189500,1.41,0.8372
190000,1.41,0.8378
190500,1.42,0.8377
191000,1.42,0.8369
191500,1.42,0.838
192000,1.43,0.8385
192500,1.43,0.8373
193000,1.43,0.8374
193500,1.44,0.8375
194000,1.44,0.8379
194500,1.45,0.8379
195000,1.45,0.8373
195500,1.45,0.8375
196000,1.46,0.8374
196500,1.46,0.8372
197000,1.46,0.8363
197500,1.47,0.8371
198000,1.47,0.8369
198500,1.47,0.8381
199000,1.48,0.8376
199500,1.48,0.8368
200000,1.49,0.8368
200500,1.49,0.8377
201000,1.49,0.8363
201500,1.5,0.8366
202000,1.5,0.836
202500,1.5,0.8368
203000,1.51,0.8371
203500,1.51,0.8368
204000,1.52,0.8368
204500,1.52,0.8363
205000,1.52,0.8365
205500,1.53,0.8354
206000,1.53,0.8355
206500,1.53,0.8369
207000,1.54,0.8361
207500,1.54,0.8362
208000,1.55,0.8362
208500,1.55,0.8358
209000,1.55,0.8364
209500,1.56,0.8364
210000,1.56,0.8361
210500,1.56,0.8361
211000,1.57,0.8356
211500,1.57,0.8355
212000,1.58,0.8359
212500,1.58,0.8356
213000,1.58,0.8363
213500,1.59,0.8353
214000,1.59,0.8364
214500,1.59,0.8361
215000,1.6,0.8357
215500,1.6,0.8363
216000,1.6,0.8359
216500,1.61,0.8367
217000,1.61,0.8347
217500,1.62,0.8359
218000,1.62,0.8358
218500,1.62,0.8362
219000,1.63,0.8352
219500,1.63,0.8356
220000,1.63,0.8348
220500,1.64,0.8359
221000,1.64,0.8355
221500,1.65,0.8349
222000,1.65,0.8351
222500,1.65,0.8355
223000,1.66,0.835
223500,1.66,0.8352
224000,1.66,0.8347
224500,1.67,0.8358
225000,1.67,0.8349
225500,1.68,0.8354
226000,1.68,0.8353
226500,1.68,0.8353
227000,1.69,0.8349
227500,1.69,0.8352
228000,1.69,0.8349
228500,1.7,0.8342
229000,1.7,0.8349
229500,1.71,0.8358
230000,1.71,0.835
230500,1.71,0.8348
231000,1.72,0.8358
231500,1.72,0.8353
232000,1.72,0.8354
232500,1.73,0.8353
233000,1.73,0.8341
233500,1.73,0.8349
234000,1.74,0.835
234500,1.74,0.8346
235000,1.75,0.8347
235500,1.75,0.8344
236000,1.75,0.8346
236500,1.76,0.8349
237000,1.76,0.8341
237500,1.76,0.8342
238000,1.77,0.8348
238500,1.77,0.8342
239000,1.78,0.8343
239500,1.78,0.8342
240000,1.78,0.8335
240500,1.79,0.8336
241000,1.79,0.8344
241500,1.79,0.8339
242000,1.8,0.8339
242500,1.8,0.8336
243000,1.81,0.8344
243500,1.81,0.8336
244000,1.81,0.8343
244500,1.82,0.8341
245000,1.82,0.8345
245500,1.82,0.834
246000,1.83,0.8335
246500,1.83,0.8349
247000,1.84,0.8343
247500,1.84,0.8342
248000,1.84,0.8344
248500,1.85,0.833
249000,1.85,0.834
249500,1.85,0.8345
250000,1.86,0.8343
250500,1.86,0.8335
251000,1.87,0.8338
251500,1.87,0.8341
252000,1.87,0.8335
252500,1.88,0.8338
253000,1.88,0.8332
253500,1.88,0.8342
254000,1.89,0.8334
254500,1.89,0.8333
255000,1.89,0.8342
255500,1.9,0.834
256000,1.9,0.8334
256500,1.91,0.8346
257000,1.91,0.8344
257500,1.91,0.8333
258000,1.92,0.8336
258500,1.92,0.8335
259000,1.92,0.8334
259500,1.93,0.8331
260000,1.93,0.8336
260500,1.94,0.8333
261000,1.94,0.8342
261500,1.94,0.8334
262000,1.95,0.8331
262500,1.95,0.8333
263000,1.95,0.8335
263500,1.96,0.8324
264000,1.96,0.833
264500,1.97,0.8334
265000,1.97,0.8331
265500,1.97,0.8336
266000,1.98,0.8328
266500,1.98,0.8335
267000,1.98,0.8328
267500,1.99,0.8333
268000,1.99,0.8329
268500,2.0,0.8338
269000,2.0,0.8327
269500,2.0,0.8334
270000,2.01,0.8324
270500,2.01,0.8327
271000,2.01,0.8326
271500,2.02,0.8324
272000,2.02,0.8324
272500,2.02,0.832
273000,2.03,0.832
273500,2.03,0.8326
274000,2.04,0.8327
274500,2.04,0.8326
275000,2.04,0.833
275500,2.05,0.8319
276000,2.05,0.8329
276500,2.05,0.8333
277000,2.06,0.8318
277500,2.06,0.8314
278000,2.07,0.8325
278500,2.07,0.8325
279000,2.07,0.8322
279500,2.08,0.8327
280000,2.08,0.8321
280500,2.08,0.8316
281000,2.09,0.8322
281500,2.09,0.8326
282000,2.1,0.8318
282500,2.1,0.8324
283000,2.1,0.8318
283500,2.11,0.8316
284000,2.11,0.8321
284500,2.11,0.8311
285000,2.12,0.8325
285500,2.12,0.8324
286000,2.13,0.8318
286500,2.13,0.8319
287000,2.13,0.8313
287500,2.14,0.8323
288000,2.14,0.8318
288500,2.14,0.8318
289000,2.15,0.8323
289500,2.15,0.8329
290000,2.15,0.8316
290500,2.16,0.831
291000,2.16,0.8318
291500,2.17,0.8319
292000,2.17,0.8325
292500,2.17,0.8316
293000,2.18,0.8316
293500,2.18,0.8328
294000,2.18,0.8327
294500,2.19,0.8321
295000,2.19,0.8317
295500,2.2,0.8331
296000,2.2,0.8327
296500,2.2,0.832
297000,2.21,0.8329
297500,2.21,0.8324
298000,2.21,0.8315
298500,2.22,0.8317
299000,2.22,0.8318
299500,2.23,0.8317
300000,2.23,0.832
