n_steps,epoch,train_loss
134000,11.23,0.5395
134500,11.27,0.538
135000,11.31,0.5369
135500,11.35,0.5387
136000,11.4,0.5393
136500,11.44,0.5403
137000,11.48,0.5398
137500,11.52,0.5393
138000,11.56,0.5427
138500,11.6,0.5405
139000,11.65,0.5419
139500,11.69,0.542
140000,11.73,0.5413
140500,11.77,0.5404
141000,11.81,0.5439
141500,11.86,0.5418
142000,11.9,0.5429
142500,11.94,0.5425
143000,11.98,0.5448
143500,12.02,0.5345
144000,12.07,0.5262
144500,12.11,0.5258
145000,12.15,0.5264
145500,12.19,0.526
146000,12.23,0.5262
146500,12.27,0.5281
147000,12.32,0.5299
147500,12.36,0.5297
148000,12.4,0.5313
148500,12.44,0.5293
149000,12.48,0.5325
149500,12.53,0.5314
150000,12.57,0.5311
150500,12.61,0.5317
151000,12.65,0.5324
151500,12.69,0.5327
152000,12.74,0.532
152500,12.78,0.5322
153000,12.82,0.5349
153500,12.86,0.5347
154000,12.9,0.5319
154500,12.95,0.5328
155000,12.99,0.5334
155500,13.03,0.5206
156000,13.07,0.5147
156500,13.11,0.5155
157000,13.15,0.516
157500,13.2,0.5164
158000,13.24,0.5181
158500,13.28,0.5167
159000,13.32,0.5195
159500,13.36,0.5192
160000,13.41,0.5184
160500,13.45,0.5187
161000,13.49,0.5217
161500,13.53,0.5213
162000,13.57,0.5204
162500,13.62,0.5211
163000,13.66,0.5209
163500,13.7,0.5221
164000,13.74,0.521
164500,13.78,0.5203
165000,13.82,0.5225
165500,13.87,0.5229
166000,13.91,0.5224
166500,13.95,0.5223
167000,13.99,0.5229
167500,14.03,0.5065
168000,14.08,0.5028
168500,14.12,0.5043
169000,14.16,0.5034
169500,14.2,0.5042
170000,14.24,0.5053
170500,14.29,0.5058
171000,14.33,0.5075
171500,14.37,0.5058
172000,14.41,0.5082
172500,14.45,0.508
173000,14.5,0.5079
173500,14.54,0.5081
174000,14.58,0.5108
174500,14.62,0.5093
175000,14.66,0.5115
175500,14.7,0.5106
176000,14.75,0.5099
176500,14.79,0.5108
177000,14.83,0.5111
177500,14.87,0.5104
178000,14.91,0.5125
178500,14.96,0.5118
179000,15.0,0.5129
179500,15.04,0.4906
180000,15.08,0.4903
180500,15.12,0.4925
181000,15.17,0.4924
181500,15.21,0.4924
182000,15.25,0.4928
182500,15.29,0.4942
183000,15.33,0.4951
183500,15.37,0.4957
184000,15.42,0.497
184500,15.46,0.4959
185000,15.5,0.4948
185500,15.54,0.497
186000,15.58,0.4974
186500,15.63,0.498
187000,15.67,0.4975
187500,15.71,0.4982
188000,15.75,0.5004
188500,15.79,0.5003
189000,15.84,0.5001
189500,15.88,0.4993
190000,15.92,0.499
190500,15.96,0.5014
191000,16.0,0.4992
191500,16.05,0.4777
192000,16.09,0.4776
192500,16.13,0.4799
193000,16.17,0.4815
193500,16.21,0.4805
194000,16.25,0.4815
194500,16.3,0.4817
195000,16.34,0.4836
195500,16.38,0.4838
196000,16.42,0.4838
196500,16.46,0.4841
197000,16.51,0.4853
197500,16.55,0.4856
198000,16.59,0.4856
198500,16.63,0.486
199000,16.67,0.4853
199500,16.72,0.4861
200000,16.76,0.4864
200500,16.8,0.4879
201000,16.84,0.4885
201500,16.88,0.488
202000,16.93,0.4886
202500,16.97,0.4888
203000,17.01,0.4831
203500,17.05,0.4669
204000,17.09,0.4674
204500,17.13,0.4687
205000,17.18,0.4699
205500,17.22,0.4685
206000,17.26,0.4699
206500,17.3,0.4703
207000,17.34,0.471
207500,17.39,0.4718
208000,17.43,0.4725
208500,17.47,0.4725
209000,17.51,0.4721
209500,17.55,0.4737
210000,17.6,0.4738
210500,17.64,0.4745
211000,17.68,0.4735
211500,17.72,0.4758
212000,17.76,0.4748
212500,17.8,0.4754
213000,17.85,0.4769
213500,17.89,0.476
214000,17.93,0.4764
214500,17.97,0.4763
215000,18.01,0.4691
215500,18.06,0.4547
216000,18.1,0.4554
216500,18.14,0.4574
217000,18.18,0.4583
217500,18.22,0.4588
218000,18.27,0.4597
218500,18.31,0.4586
219000,18.35,0.4593
219500,18.39,0.4602
220000,18.43,0.4609
220500,18.48,0.4617
221000,18.52,0.4611
221500,18.56,0.4622
222000,18.6,0.4618
222500,18.64,0.4633
223000,18.68,0.4632
223500,18.73,0.464
224000,18.77,0.4641
224500,18.81,0.4645
225000,18.85,0.465
225500,18.89,0.4647
226000,18.94,0.4663
226500,18.98,0.465
227000,19.02,0.4565
227500,19.06,0.4452
228000,19.1,0.4458
228500,19.15,0.4467
229000,19.19,0.4473
229500,19.23,0.4488
230000,19.27,0.4486
230500,19.31,0.4494
231000,19.35,0.4497
231500,19.4,0.4497
232000,19.44,0.4511
232500,19.48,0.4509
233000,19.52,0.4503
233500,19.56,0.4513
234000,19.61,0.4524
234500,19.65,0.4523
235000,19.69,0.4526
235500,19.73,0.4524
236000,19.77,0.4535
236500,19.82,0.4537
237000,19.86,0.453
237500,19.9,0.4546
238000,19.94,0.4539
238500,19.98,0.4541
239000,20.03,0.4438
239500,20.07,0.4365
240000,20.11,0.4364
240500,20.15,0.4382
241000,20.19,0.4378
241500,20.23,0.4386
242000,20.28,0.4387
242500,20.32,0.4389
243000,20.36,0.4402
243500,20.4,0.4399
244000,20.44,0.4409
244500,20.49,0.4408
245000,20.53,0.4408
245500,20.57,0.4418
246000,20.61,0.4421
246500,20.65,0.4426
247000,20.7,0.4428
247500,20.74,0.4429
248000,20.78,0.4426
248500,20.82,0.4433
249000,20.86,0.4436
249500,20.9,0.4436
250000,20.95,0.4442
250500,20.99,0.4443
251000,21.03,0.4326
251500,21.07,0.428
252000,21.11,0.4283
252500,21.16,0.4296
253000,21.2,0.4303
253500,21.24,0.4297
254000,21.28,0.4304
254500,21.32,0.4309
255000,21.37,0.4312
255500,21.41,0.432
256000,21.45,0.4315
256500,21.49,0.4317
257000,21.53,0.4317
257500,21.58,0.4328
258000,21.62,0.4332
258500,21.66,0.4333
259000,21.7,0.4328
259500,21.74,0.4331
260000,21.78,0.4333
260500,21.83,0.4342
261000,21.87,0.4342
261500,21.91,0.4344
262000,21.95,0.4351
262500,21.99,0.4351
263000,22.04,0.4235
263500,22.08,0.422
264000,22.12,0.4212
264500,22.16,0.4219
265000,22.2,0.4225
265500,22.25,0.4234
266000,22.29,0.4224
266500,22.33,0.4241
267000,22.37,0.4234
267500,22.41,0.4238
268000,22.45,0.4242
268500,22.5,0.4238
269000,22.54,0.4247
269500,22.58,0.4249
270000,22.62,0.4255
270500,22.66,0.4248
271000,22.71,0.4255
271500,22.75,0.425
272000,22.79,0.4256
272500,22.83,0.4259
273000,22.87,0.4262
273500,22.92,0.4252
274000,22.96,0.4263
274500,23.0,0.4258
275000,23.04,0.4158
275500,23.08,0.4164
276000,23.13,0.4164
276500,23.17,0.4162
277000,23.21,0.416
277500,23.25,0.416
278000,23.29,0.4165
278500,23.33,0.417
279000,23.38,0.4159
279500,23.42,0.4171
280000,23.46,0.4172
280500,23.5,0.4168
281000,23.54,0.4183
281500,23.59,0.4173
282000,23.63,0.4177
282500,23.67,0.4182
283000,23.71,0.4183
283500,23.75,0.4179
284000,23.8,0.4182
284500,23.84,0.4187
285000,23.88,0.4188
285500,23.92,0.4195
286000,23.96,0.4189
286500,24.01,0.418
287000,24.05,0.4114
287500,24.09,0.4117
288000,24.13,0.412
288500,24.17,0.4121
289000,24.21,0.4114
289500,24.26,0.4117
290000,24.3,0.4119
290500,24.34,0.4121
291000,24.38,0.412
291500,24.42,0.412
292000,24.47,0.4122
292500,24.51,0.4123
293000,24.55,0.413
293500,24.59,0.4113
294000,24.63,0.4125
294500,24.68,0.4125
295000,24.72,0.4125
295500,24.76,0.4126
296000,24.8,0.412
296500,24.84,0.413
297000,24.88,0.413
297500,24.93,0.4127
298000,24.97,0.412
298500,25.01,0.4124
299000,25.05,0.4101
299500,25.09,0.409
300000,25.14,0.4094
